iter	Passed	Remaining
907	25474	2581
908	25502	2553
909	25530	2524
910	25558	2496
911	25586	2468
912	25614	2440
913	25641	2412
914	25670	2384
915	25698	2356
916	25726	2328
917	25754	2300
918	25781	2272
919	25809	2244
920	25838	2216
921	25864	2188
922	25892	2160
923	25920	2131
924	25948	2103
925	25976	2075
926	26002	2047
927	26030	2019
928	26057	1991
929	26088	1963
930	26116	1935
931	26144	1907
932	26171	1879
933	26199	1851
934	26226	1823
935	26253	1795
936	26281	1767
937	26310	1739
938	26336	1710
939	26364	1682
940	26393	1654
941	26421	1626
942	26450	1598
943	26477	1570
944	26505	1542
945	26533	1514
946	26561	1486
947	26589	1458
948	26618	1430
949	26645	1402
950	26674	1374
951	26702	1346
952	26730	1318
953	26759	1290
954	26786	1262
955	26815	1234
956	26843	1206
957	26871	1178
958	26900	1150
959	26929	1122
960	26958	1094
961	26985	1065
962	27013	1037
963	27041	1009
964	27069	981
965	27099	953
966	27128	925
967	27156	897
968	27186	869
969	27215	841
970	27245	813
971	27274	785
972	27302	757
973	27332	729
974	27359	701
975	27388	673
976	27418	645
977	27446	617
978	27476	589
979	27505	561
980	27515	532
981	27543	504
982	27573	476
983	27602	448
984	27632	420
985	27662	392
986	27689	364
987	27717	336
988	27746	308
989	27776	280
990	27804	252
991	27833	224
992	27861	196
993	27888	168
994	27915	140
995	27943	112
996	27971	84
997	27999	56
998	28027	28
999	28055	0
