iter	Accuracy	Logloss
259	0.8415205461	0.3810101206
260	0.8425913532	0.3807137925
261	0.8425913532	0.380430928
262	0.8423236515	0.3800434924
263	0.8424575023	0.3798113121
264	0.8424575023	0.3796312212
265	0.8425913532	0.3794306736
266	0.8424575023	0.3791731348
267	0.8424575023	0.3788418081
268	0.8432606077	0.3784215961
269	0.8429929059	0.378176377
270	0.8432606077	0.377945798
271	0.8429929059	0.3777983202
272	0.8437960112	0.3774233351
273	0.8436621604	0.3772974577
274	0.8445991166	0.3766793777
275	0.8451345201	0.3764576218
276	0.8451345201	0.3761907043
277	0.8456699237	0.3759982937
278	0.8460714764	0.375718991
279	0.8460714764	0.3755839637
280	0.8463391782	0.3753669462
281	0.8458037746	0.3751226422
282	0.8458037746	0.3749591846
283	0.8463391782	0.3745526975
284	0.8466068799	0.3743865276
285	0.8463391782	0.3742362722
286	0.8470084326	0.373855601
287	0.8472761344	0.3736306753
288	0.8472761344	0.3733437913
289	0.8472761344	0.3731550406
290	0.8474099853	0.3726966275
291	0.8475438362	0.3723779147
292	0.8474099853	0.3719526701
293	0.8475438362	0.3717557825
294	0.8478115379	0.3715179162
295	0.8483469415	0.3713397533
296	0.8487484942	0.3709659773
297	0.8484807924	0.3708135324
298	0.8494177486	0.3704880224
299	0.8498193013	0.3702985202
300	0.8503547049	0.3700341189
301	0.8506224066	0.3698722953
302	0.8506224066	0.3696021753
303	0.8507562575	0.3691458536
304	0.850220854	0.3687949851
305	0.8508901084	0.3684445742
306	0.8510239593	0.3682616403
307	0.8512916611	0.3681462201
308	0.8515593629	0.3676958785
309	0.8519609155	0.3673962826
310	0.8522286173	0.3669584241
311	0.8524963191	0.3666489266
312	0.8524963191	0.3663319784
313	0.8522286173	0.3661778669
314	0.8522286173	0.3658238614
315	0.85263017	0.3654363278
316	0.8531655736	0.3652229049
317	0.8530317227	0.364879912
318	0.8530317227	0.3646197589
319	0.8532994244	0.364329509
320	0.853834828	0.3640831136
321	0.8537009771	0.3635641799
322	0.8534332753	0.3633954938
323	0.8535671262	0.3632611528
324	0.853834828	0.3631302103
325	0.8539686789	0.3629845624
326	0.8543702316	0.3627137889
327	0.8541025298	0.3624890266
328	0.8543702316	0.3622574345
329	0.8545040825	0.3620214961
330	0.8546379333	0.3618279417
331	0.8553071878	0.3615331495
332	0.855039486	0.3612851202
333	0.8553071878	0.3610458486
334	0.8559764422	0.360704555
335	0.8558425914	0.3605655736
336	0.8565118458	0.3602980352
337	0.8569133985	0.3599471995
338	0.8571811003	0.3597307702
339	0.857448802	0.3595637833
340	0.8569133985	0.3593457201
341	0.8570472494	0.3590019429
342	0.8567795476	0.3587532273
343	0.8567795476	0.3585766004
344	0.8567795476	0.3583616089
345	0.8570472494	0.3581285789
346	0.857448802	0.357761306
347	0.8577165038	0.3574018104
348	0.8581180565	0.3573116179
349	0.8590550127	0.3569524165
350	0.8590550127	0.3568159187
351	0.8593227145	0.3568119319
352	0.8591888636	0.3565351455
353	0.8594565654	0.3562207463
354	0.8595904163	0.3559438292
355	0.8598581181	0.3558155336
356	0.8603935216	0.3556046923
357	0.8606612234	0.3554341762
358	0.8598581181	0.3550779485
359	0.8598581181	0.3548975309
360	0.8602596707	0.3545162388
361	0.8602596707	0.3543476834
362	0.8605273725	0.3541281497
363	0.8605273725	0.3539458367
364	0.8602596707	0.353844991
365	0.8602596707	0.3537532953
366	0.8607950743	0.3535005276
367	0.8609289252	0.3533535073
368	0.8609289252	0.3532450148
369	0.8607950743	0.3530309057
370	0.8615981796	0.3527567989
371	0.8613304778	0.3526571297
372	0.8615981796	0.3523438088
373	0.8621335832	0.3523069149
374	0.8621335832	0.3520960736
375	0.8621335832	0.3518847748
376	0.8626689867	0.3517460548
377	0.8625351359	0.351615145
378	0.8622674341	0.3514180286
379	0.8626689867	0.3512505843
380	0.8629366885	0.3510543829
381	0.8634720921	0.3507960925
382	0.8634720921	0.3507953083
383	0.8637397939	0.3506842669
384	0.8640074956	0.3504656155
385	0.8644090483	0.3503376794
386	0.8645428992	0.3501169039
387	0.8642751974	0.3498124715
388	0.8640074956	0.3496115645
389	0.8649444519	0.3492459581
390	0.8650783028	0.3490936765
391	0.864810601	0.3488725742
392	0.8650783028	0.3485421952
393	0.8649444519	0.3483182825
394	0.8646767501	0.3482333512
395	0.8646767501	0.3479693095
396	0.8650783028	0.3478685945
397	0.8652121537	0.3474972367
398	0.8658814081	0.347195484
399	0.8658814081	0.3471942422
400	0.8661491099	0.3469331415
401	0.866015259	0.346775468
402	0.866015259	0.3464198285
403	0.8665506626	0.3461804917
404	0.8668183643	0.3459537033
405	0.8670860661	0.3457493977
406	0.8665506626	0.3455862669
407	0.8673537679	0.3453628117
408	0.8673537679	0.3451424937
409	0.8677553206	0.3449329922
410	0.8677553206	0.3448405449
411	0.868424575	0.3444367701
412	0.8686922768	0.3442140012
413	0.8685584259	0.3439845658
414	0.8682907241	0.3437366018
415	0.8685584259	0.3435142904
416	0.8685584259	0.3432590391
417	0.8686922768	0.3429324835
418	0.8688261277	0.3427168058
419	0.8690938295	0.3424608029
420	0.8692276804	0.3422574449
421	0.8690938295	0.342021572
422	0.8692276804	0.3417344592
423	0.8694953821	0.3414698619
424	0.8694953821	0.3413501934
425	0.8694953821	0.3411459205
426	0.8694953821	0.3408550497
427	0.8698969348	0.3404528108
428	0.8698969348	0.3403057251
429	0.8701646366	0.3401713187
430	0.8702984875	0.3400284812
431	0.8702984875	0.3399696927
432	0.8705661893	0.3399174399
433	0.8702984875	0.3396501302
434	0.8700307857	0.3393871668
435	0.8705661893	0.3389961366
436	0.8711015928	0.3385874274
437	0.8711015928	0.3383085822
438	0.8713692946	0.3378904289
439	0.8713692946	0.337660144
440	0.8721723999	0.3374310681
441	0.8720385491	0.3369632436
442	0.8719046982	0.3369624266
443	0.8721723999	0.3368425948
444	0.8721723999	0.3365504822
445	0.8725739526	0.336148374
446	0.8725739526	0.3358594966
447	0.8724401017	0.3357925384
448	0.8727078035	0.3357257764
449	0.8724401017	0.3355320913
450	0.8723062508	0.3352240316
451	0.8728416544	0.3349615911
